traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
1012,None,22.27,0,0,90,Rain,moderate rain,18-06-2018 23:00
1012,None,5.32,0.54,0,90,Rain,light rain,27-04-2016 23:00
1012,None,17.46,0,0,40,Clouds,scattered clouds,10-06-2018 07:00
1012,None,8.87,0,0,1,Drizzle,light intensity drizzle,03-04-2017 23:00
1012,None,8.87,0,0,1,Rain,light rain,03-04-2017 23:00
1012,None,16.36,0,0,90,Clouds,overcast clouds,04-11-2015 23:00
1012,None,5.32,0.54,0,90,Drizzle,drizzle,27-04-2016 23:00
1012,None,21.31,0.25,0,90,Rain,light rain,03-09-2018 23:00
1012,None,21.31,0.25,0,90,Drizzle,light intensity drizzle,03-09-2018 23:00
1013,None,-11.73,0,0,1,Clear,sky is clear,20-03-2013 23:00
1013,None,-10.18,0,0,89,Clouds,overcast clouds,05-02-2013 23:00
1014,None,19.00,2.79,0,40,Rain,moderate rain,27-08-2018 23:00
1014,None,-7.86,0,0,1,Clear,sky is clear,05-12-2017 23:00
1015,None,-7.94,0,0,90,Haze,haze,08-12-2016 04:00
1015,None,11.83,0,0,90,Clouds,overcast clouds,26-05-2013 07:00
1015,None,12.11,0,0,1,Clear,sky is clear,03-10-2012 23:00
1015,None,1.77,0,0,90,Clouds,overcast clouds,13-04-2014 23:00
1015,None,-7.94,0,0,90,Mist,mist,08-12-2016 04:00
1015,None,-7.94,0,0,90,Snow,light snow,08-12-2016 04:00
1015,None,13.13,0,0,40,Clouds,scattered clouds,25-06-2017 01:00
1015,None,-12.94,0,0,1,Clear,sky is clear,14-12-2016 04:00
1016,None,17.24,0,0,90,Thunderstorm,thunderstorm with light rain,21-05-2013 23:00
1016,None,21.08,0,0,90,Rain,moderate rain,17-07-2017 23:00
1016,None,-10.71,0,0,1,Clear,sky is clear,23-12-2017 06:00
1016,None,17.24,0,0,90,Mist,mist,21-05-2013 23:00
1016,None,21.08,0,0,90,Mist,mist,17-07-2017 23:00
1016,None,17.24,0,0,90,Rain,light rain,21-05-2013 23:00
1016,None,21.08,0,0,90,Thunderstorm,proximity thunderstorm,17-07-2017 23:00
1016,None,17.24,0,0,90,Thunderstorm,proximity thunderstorm,21-05-2013 23:00
1016,None,19.00,0,0,1,Clear,sky is clear,24-06-2018 01:00
1016,None,11.21,0,0,75,Clouds,broken clouds,21-05-2016 01:00
1016,None,17.24,0,0,90,Rain,moderate rain,21-05-2013 23:00
1017,None,-20.68,0,0,1,Clear,sky is clear,13-12-2016 04:00
1017,None,-6.07,0,0,75,Mist,mist,20-01-2016 23:00
1017,None,9.73,0,0,40,Mist,mist,02-04-2017 23:00
1017,None,-7.60,0,0,90,Snow,heavy snow,24-11-2012 06:00
1017,None,-6.07,0,0,75,Haze,haze,20-01-2016 23:00
1018,None,-0.93,0,0,1,Clear,sky is clear,11-04-2016 23:00
1018,None,-2.01,0,0,1,Clear,sky is clear,21-10-2013 23:00
1018,None,-7.83,0,0,90,Snow,heavy snow,29-12-2012 06:00
1018,None,13.72,0,0,1,Clear,sky is clear,03-09-2017 06:00
1018,None,14.35,0,0,44,Clouds,scattered clouds,04-10-2016 04:00
1019,None,14.46,0,0,0,Clear,Sky is Clear,31-10-2016 23:00
1019,None,2.03,0,0,90,Mist,mist,10-04-2013 23:00
1019,None,2.03,0,0,90,Rain,light rain,10-04-2013 23:00
1019,None,20.38,0,0,92,Clouds,overcast clouds,10-09-2013 23:00
1019,None,2.03,0,0,90,Snow,heavy snow,10-04-2013 23:00
1020,None,-8.53,0,0,90,Snow,light snow,07-12-2016 23:00
1020,None,-3.11,0,0,90,Clouds,overcast clouds,27-12-2015 00:00
1020,None,-17.64,0,0,20,Clouds,few clouds,26-02-2014 23:00
1020,None,-4.93,0,0,40,Clouds,scattered clouds,18-03-2018 07:00
1020,None,-3.63,0,0,1,Clear,sky is clear,28-11-2012 23:00
1021,None,12.46,0,0,90,Clouds,overcast clouds,23-10-2012 23:00
1021,Independence Day,24.40,0,0,1,Mist,mist,04-07-2018 00:00
1021,None,8.16,0,0,1,Clear,sky is clear,04-05-2016 04:00
1021,None,11.23,0,0,90,Clouds,overcast clouds,04-05-2014 23:00
1021,None,-8.54,0,0,90,Snow,heavy snow,19-01-2013 00:00
1021,None,16.12,0,0,36,Clouds,scattered clouds,14-08-2016 07:00
1021,None,-1.55,0,0,90,Mist,mist,10-02-2013 22:00
1022,None,20.52,0,0,1,Clear,sky is clear,12-09-2017 23:00
1022,None,17.79,0,0,1,Haze,haze,11-09-2017 23:00
1022,None,17.79,0,0,1,Mist,mist,11-09-2017 23:00
1022,None,-0.71,0,0,0,Clear,Sky is Clear,09-10-2016 01:00
1022,None,-11.86,0,0,1,Clear,sky is clear,16-03-2014 07:00
1022,None,2.31,0,0,75,Clouds,broken clouds,17-04-2013 23:00
1022,None,16.13,0,0,40,Mist,mist,14-05-2018 23:00
1022,None,18.93,0,0,0,Clear,Sky is Clear,05-08-2016 00:00
1022,None,10.50,0,0,90,Clouds,overcast clouds,10-05-2016 23:00
1023,None,8.34,0,0,1,Clear,sky is clear,25-04-2018 23:00
1023,None,16.32,0,0,0,Clear,Sky is Clear,07-08-2016 01:00
1023,None,14.47,0,0,1,Clear,sky is clear,23-06-2017 04:00
1024,None,18.31,0,0,1,Haze,haze,02-08-2014 01:00
1024,None,-22.38,0,0,75,Clouds,broken clouds,02-03-2014 00:00
1024,None,5.25,0,0,0,Clear,Sky is Clear,14-10-2016 01:00
1024,None,-8.60,0,0,90,Clouds,overcast clouds,07-01-2018 07:00
1024,None,18.31,0,0,1,Mist,mist,02-08-2014 01:00
1024,None,7.27,0,0,20,Clouds,few clouds,03-11-2016 00:00
1024,None,18.31,0,0,1,Fog,fog,02-08-2014 01:00
1024,None,17.95,0,0,1,Clear,sky is clear,30-04-2013 23:00
1025,None,-3.46,0,0,90,Clouds,overcast clouds,29-01-2014 23:00
1025,None,10.08,0,0,1,Clear,sky is clear,01-05-2016 23:00
1025,None,6.19,0,0,1,Clear,sky is clear,21-10-2015 23:00
1025,None,-0.22,0,0,1,Fog,fog,19-01-2017 04:00
1025,None,-0.22,0,0,1,Mist,mist,19-01-2017 04:00
1025,None,-0.22,0,0,1,Haze,haze,19-01-2017 04:00
1025,None,-18.04,0,0,64,Haze,haze,11-12-2013 23:00
1026,None,9.82,0,0,1,Clear,sky is clear,18-05-2014 06:00
1026,None,16.80,0,0,1,Clear,sky is clear,01-07-2017 05:00
1026,Labor Day,22.39,0,0,1,Clear,sky is clear,04-09-2017 00:00
1027,None,16.15,0,0,1,Rain,moderate rain,08-05-2018 23:00
1027,None,-3.08,0,0,64,Clouds,broken clouds,19-01-2014 07:00
1027,None,16.15,0,0,1,Drizzle,light intensity drizzle,08-05-2018 23:00
1028,None,6.16,0,0,1,Mist,mist,06-03-2016 23:00
1028,None,14.37,0,0,90,Mist,mist,24-10-2012 23:00
1028,None,16.50,0,0,8,Clear,sky is clear,24-06-2016 00:00
1028,None,18.01,0,0,1,Clear,sky is clear,29-09-2013 23:00
1029,None,-4.17,0,0,64,Clouds,broken clouds,30-11-2013 06:00
1029,None,2.71,0,0,90,Mist,mist,02-12-2012 07:00
1029,None,-13.38,0,0,1,Clear,sky is clear,21-02-2018 23:00
1030,None,-4.90,0,0,90,Clouds,overcast clouds,27-01-2013 22:00
1030,None,0.67,0,0,90,Mist,mist,24-12-2016 06:00
1030,None,0.67,0,0,90,Haze,haze,24-12-2016 06:00
1030,None,11.91,0,0,68,Clouds,broken clouds,19-02-2017 23:00
1030,None,9.69,0,0,1,Clear,sky is clear,25-05-2013 00:00
1031,None,0.50,0,0,75,Snow,light snow,04-11-2017 00:00
1031,None,1.06,0,0,90,Clouds,overcast clouds,15-04-2014 23:00
1031,None,-1.01,0,0,90,Clouds,overcast clouds,09-12-2012 20:00
1031,None,2.50,0,0,1,Clear,sky is clear,05-03-2017 01:00
1031,None,-16.61,0,0,20,Clouds,few clouds,20-01-2013 23:00
1031,None,14.14,0,0,1,Clear,sky is clear,17-10-2017 23:00
1031,None,9.82,0,0,1,Clear,sky is clear,23-04-2017 23:00
1032,None,13.24,0,0,90,Mist,mist,28-05-2013 23:00
1032,None,16.24,0,0,1,Clear,sky is clear,22-09-2013 23:00
1032,None,-20.57,0,0,1,Clear,sky is clear,13-01-2018 00:00
1033,None,14.47,0,0,1,Clear,sky is clear,04-07-2013 06:00
1033,None,1.99,0,0,1,Mist,mist,28-02-2016 06:00
1033,None,-11.87,0,0,75,Clouds,broken clouds,16-01-2016 01:00
1033,None,-19.01,0,0,1,Clear,sky is clear,18-12-2016 23:00
1033,None,-19.22,0,0,1,Clear,sky is clear,18-12-2016 23:00
1033,None,22.09,0,0,90,Clouds,overcast clouds,24-07-2016 06:00
1033,None,-1.56,0,0,75,Mist,mist,17-01-2017 23:00
1033,None,18.64,0,0,75,Mist,mist,31-07-2016 06:00
1034,None,16.41,0.25,0,90,Rain,light rain,30-08-2015 06:00
1034,None,-4.29,0,0,90,Clouds,overcast clouds,09-03-2014 07:00
1034,None,10.47,0,0,90,Drizzle,drizzle,25-04-2017 23:00
1034,None,10.47,0,0,90,Rain,light rain,25-04-2017 23:00
1034,None,12.07,0,0,75,Mist,mist,14-03-2016 23:00
1034,None,-17.77,0,0,1,Clear,sky is clear,20-02-2013 23:00
1034,None,10.47,0,0,90,Mist,mist,25-04-2017 23:00
1034,None,16.41,0.25,0,90,Mist,mist,30-08-2015 06:00
1035,None,3.64,0,0,90,Clouds,overcast clouds,13-12-2015 23:00
1035,None,11.93,0.25,0,75,Rain,moderate rain,19-09-2015 00:00
1035,None,15.50,0,0,1,Mist,mist,19-07-2017 04:00
1035,None,15.50,0,0,1,Fog,fog,19-07-2017 04:00
1035,None,-1.43,0,0,90,Mist,mist,24-01-2016 23:00
1035,None,9.49,0,0,20,Clouds,few clouds,16-05-2016 23:00
1035,None,13.00,0,0,1,Clear,sky is clear,08-10-2017 01:00
1035,None,-10.15,0,0,64,Snow,light snow,25-12-2013 23:00
1035,None,15.46,0,0,1,Clear,sky is clear,29-04-2018 23:00
1035,None,6.48,0,0,1,Clear,sky is clear,14-05-2014 00:00
1036,None,16.35,0,0,75,Clouds,broken clouds,10-09-2017 06:00
1036,None,14.51,0.25,0,1,Rain,light rain,30-05-2016 07:00
1036,None,14.51,0.25,0,1,Fog,fog,30-05-2016 07:00
1036,None,19.14,0,0,40,Clouds,scattered clouds,17-04-2016 23:00
1036,None,13.46,0,0,1,Clear,sky is clear,18-08-2013 01:00
1036,None,14.51,0.25,0,1,Mist,mist,30-05-2016 07:00
1036,None,-9.06,0,0,1,Clear,sky is clear,25-02-2017 05:00
1036,None,16.94,0,0,1,Clear,sky is clear,23-06-2017 00:00
1036,None,-8.14,0,0,64,Mist,mist,16-12-2013 23:00
1037,None,9.45,0,0,81,Clear,sky is clear,10-10-2012 23:00
1037,None,0.60,0,0,1,Clear,sky is clear,06-04-2013 00:00
1037,None,15.44,0,0,90,Clouds,overcast clouds,24-08-2015 23:00
1037,None,-10.36,0,0,1,Clear,sky is clear,25-03-2014 23:00
1037,None,5.79,0,0,40,Clouds,scattered clouds,08-05-2016 06:00
1037,None,-29.53,0,0,1,Haze,haze,18-12-2016 07:00
1037,None,-18.26,0,0,90,Snow,light snow,04-01-2017 23:00
1038,None,5.13,0,0,1,Clear,sky is clear,15-11-2016 23:00
1038,None,21.99,0,0,0,Clear,Sky is Clear,12-06-2016 01:00
1038,None,20.01,0,0,40,Clouds,scattered clouds,05-07-2016 00:00
1038,None,14.49,0,0,24,Clouds,few clouds,07-08-2016 06:00
1038,None,6.24,0,0,64,Rain,moderate rain,09-11-2013 00:00
1039,None,12.76,0,0,1,Clear,sky is clear,03-06-2013 23:00
1039,None,-0.79,0,0,75,Mist,mist,11-03-2018 07:00
1039,None,-0.79,0,0,75,Snow,light snow,11-03-2018 07:00
1039,None,7.57,0,0,90,Drizzle,drizzle,21-05-2017 23:00
1039,None,15.89,2.98,0,90,Mist,mist,11-05-2014 23:00
1039,None,-0.79,0,0,75,Rain,light rain,11-03-2018 07:00
1039,None,15.89,2.98,0,90,Rain,heavy intensity rain,11-05-2014 23:00
1039,None,7.65,0,0,90,Clouds,overcast clouds,06-04-2014 23:00
1039,None,-14.95,0,0,1,Clear,sky is clear,03-03-2013 07:00
1040,None,-1.54,0,0,90,Snow,light snow,02-04-2018 23:00
1040,None,24.34,0,0,1,Clear,sky is clear,05-09-2015 01:00
1040,None,13.29,0,0,1,Clear,sky is clear,26-09-2017 23:00
1041,Labor Day,15.63,0,0,0,Clear,Sky is Clear,02-09-2013 00:00
1041,None,15.91,0,0,90,Clouds,overcast clouds,23-08-2015 23:00
1041,None,1.32,0,0,90,Clouds,overcast clouds,23-10-2013 23:00
1042,None,9.00,0,0,90,Mist,mist,27-10-2015 23:00
1042,None,11.77,0,0,1,Clear,sky is clear,05-05-2014 23:00
1042,None,9.82,0,0,1,Clear,sky is clear,10-11-2016 23:00
1042,None,11.88,0,0,1,Clear,sky is clear,24-06-2017 05:00
1042,None,8.03,0,0,1,Clear,sky is clear,21-04-2014 23:00
1042,None,9.00,0,0,90,Drizzle,drizzle,27-10-2015 23:00
1042,None,-8.06,0,0,64,Clouds,broken clouds,21-12-2013 00:00
1042,None,7.00,0,0,1,Clear,sky is clear,04-10-2017 23:00
1042,None,9.00,0,0,90,Rain,moderate rain,27-10-2015 23:00
1043,None,1.52,0,0,90,Rain,light rain,12-01-2013 00:00
1043,None,-10.14,0,0,1,Fog,fog,24-02-2018 00:00
1043,None,-2.60,0,0,90,Snow,light snow,01-01-2017 23:00
1043,None,5.00,0,0,40,Clouds,scattered clouds,20-03-2017 23:00
1043,None,-10.01,0,0,1,Clear,sky is clear,02-01-2016 06:00
1043,None,-10.14,0,0,1,Mist,mist,24-02-2018 00:00
1043,None,11.51,0.84,0,90,Rain,light rain,20-04-2014 00:00
1043,None,1.52,0,0,90,Drizzle,light intensity drizzle,12-01-2013 00:00
1043,None,17.07,0,0,1,Clear,sky is clear,02-07-2018 00:00
1043,None,1.52,0,0,90,Mist,mist,12-01-2013 00:00
1043,None,11.25,0,0,75,Clouds,broken clouds,19-04-2016 23:00
1044,None,11.74,0,0,1,Clear,sky is clear,17-10-2017 00:00
1045,None,17.50,0,0,1,Mist,mist,14-08-2017 23:00
1045,None,23.28,0,0,36,Clouds,scattered clouds,10-08-2016 04:00
1045,None,22.96,0,0,1,Mist,mist,15-08-2015 01:00
1045,None,17.50,0,0,1,Fog,fog,14-08-2017 23:00
1045,None,6.53,0,0,1,Mist,mist,10-10-2015 00:00
1045,None,-1.43,0,0,90,Rain,moderate rain,31-03-2018 06:00
1045,None,-1.43,0,0,90,Mist,mist,31-03-2018 06:00
1045,None,6.60,0,0,1,Clear,sky is clear,24-11-2017 05:00
1045,None,-1.43,0,0,90,Snow,snow,31-03-2018 06:00
1046,None,-1.32,0,0,40,Clouds,scattered clouds,19-03-2014 23:00
1046,None,-18.14,0,0,1,Clear,sky is clear,04-02-2018 06:00
1047,None,23.02,0,0,1,Clear,sky is clear,16-08-2015 01:00
1047,None,16.45,4.04,0,90,Thunderstorm,proximity thunderstorm with rain,09-09-2015 23:00
1047,None,16.45,4.04,0,90,Mist,mist,09-09-2015 23:00
1047,None,16.45,4.04,0,90,Rain,heavy intensity rain,09-09-2015 23:00
1048,None,-13.68,0,0,1,Clear,sky is clear,22-12-2012 06:00
1048,None,-1.20,0,0,1,Clear,sky is clear,31-01-2017 23:00
1048,None,12.07,0,0,1,Clear,sky is clear,04-09-2017 23:00
1049,None,3.34,0,0,1,Clear,sky is clear,19-03-2017 23:00
1049,None,-2.15,0,0,88,Clouds,overcast clouds,25-01-2017 04:00
1049,None,-10.07,0,0,1,Haze,haze,13-01-2016 23:00
1049,None,3.05,0,0,90,Clouds,overcast clouds,13-01-2013 00:00
1049,None,-10.07,0,0,1,Mist,mist,13-01-2016 23:00
1049,None,-20.43,0,0,1,Clear,sky is clear,12-01-2016 23:00
1049,None,-4.66,0,0,97,Clouds,overcast clouds,17-03-2013 01:00
1050,None,15.52,0,0,1,Mist,mist,28-08-2016 01:00
1050,None,18.76,2.22,0,40,Rain,heavy intensity rain,05-09-2016 06:00
1050,None,-5.36,0,0,0,Clear,Sky is Clear,15-02-2017 23:00
1050,None,18.76,2.22,0,40,Mist,mist,05-09-2016 06:00
1050,None,16.99,1.78,0,90,Mist,mist,26-05-2016 04:00
1050,None,16.99,1.78,0,90,Rain,moderate rain,26-05-2016 04:00
1050,None,16.99,1.78,0,90,Thunderstorm,thunderstorm with rain,26-05-2016 04:00
1050,None,15.52,0,0,1,Fog,fog,28-08-2016 01:00
1051,None,22.26,0,0,1,Clear,sky is clear,22-08-2016 23:00
1051,None,3.56,0,0,90,Rain,light rain,01-05-2017 23:00
1051,None,3.56,0,0,90,Drizzle,heavy intensity drizzle,01-05-2017 23:00
1051,None,22.07,0,0,1,Clear,sky is clear,15-08-2018 23:00
1051,None,-4.99,0,0,90,Clouds,overcast clouds,03-03-2013 23:00
1051,None,-1.57,0,0,90,Snow,light snow,25-01-2017 23:00
1052,None,3.05,0,0,20,Clouds,few clouds,18-11-2012 07:00
1052,None,3.64,0,0,90,Clouds,overcast clouds,07-04-2013 07:00
1052,None,-14.56,0,0,90,Clouds,overcast clouds,11-01-2017 23:00
1052,None,-0.39,0,0,1,Clear,sky is clear,24-02-2016 23:00
1053,None,-8.71,0,0,64,Mist,mist,09-01-2014 23:00
1053,None,-1.71,0,0,64,Clouds,broken clouds,12-01-2014 07:00
1053,None,-10.80,0,0,75,Snow,light snow,07-01-2018 00:00
1053,None,15.00,1.72,0,92,Rain,moderate rain,15-06-2014 07:00
1053,None,7.63,0,0,75,Clouds,broken clouds,26-04-2016 23:00
1053,None,15.00,1.72,0,92,Drizzle,light intensity drizzle,15-06-2014 07:00
1053,None,15.00,1.72,0,92,Mist,mist,15-06-2014 07:00
1054,None,-7.74,0,0,40,Clouds,scattered clouds,04-02-2017 06:00
1054,None,-2.20,0,0,90,Clouds,overcast clouds,26-02-2017 23:00
1054,None,0.14,0,0,1,Clear,sky is clear,13-11-2015 23:00
1054,None,-0.18,0,0,90,Clouds,overcast clouds,17-03-2014 23:00
1055,None,15.14,0,0,1,Mist,mist,29-07-2017 06:00
1055,None,-17.06,0,0,90,Clouds,overcast clouds,04-02-2014 23:00
1055,None,15.64,0,0,1,Rain,light rain,06-08-2017 06:00
1055,None,1.07,0,0,1,Clear,sky is clear,08-12-2015 00:00
1056,None,-6.11,0,0,40,Clouds,scattered clouds,05-12-2012 23:00
1056,None,-3.20,0,0,1,Clear,sky is clear,04-03-2017 06:00
1056,None,-7.43,0,0,90,Clouds,overcast clouds,24-02-2013 23:00
1056,None,20.66,0,0,76,Rain,light rain,12-08-2016 04:00
1057,None,-2.46,0,0,90,Snow,snow,26-12-2015 07:00
1057,None,0.25,0,0,90,Snow,light snow,04-12-2016 07:00
1057,None,0.25,0,0,90,Mist,mist,04-12-2016 07:00
1057,None,19.73,0,0,40,Clouds,scattered clouds,07-09-2015 06:00
1057,None,-6.45,0,0,64,Mist,mist,29-12-2013 00:00
1057,None,6.66,0,0,1,Clear,sky is clear,03-05-2017 04:00
1057,None,-1.29,0,0,90,Clouds,overcast clouds,11-11-2017 05:00
1057,None,-11.33,0,0,90,Mist,mist,16-12-2016 23:00
1057,None,-11.33,0,0,90,Snow,light snow,16-12-2016 23:00
1057,None,-6.45,0,0,64,Snow,light snow,29-12-2013 00:00
1057,None,-5.51,0,0,75,Clouds,broken clouds,16-03-2017 04:00
1058,None,-8.49,0,0,1,Clear,sky is clear,05-02-2017 23:00
1058,None,-8.67,0,0,90,Snow,light snow,28-01-2018 06:00
1058,None,5.43,0,0,90,Clouds,overcast clouds,05-05-2013 23:00
1059,None,-6.16,0,0,90,Snow,heavy snow,23-02-2013 00:00
1059,None,-7.25,0,0,1,Clear,sky is clear,14-03-2017 23:00
1060,None,-0.34,0,0,90,Clouds,overcast clouds,29-10-2017 07:00
1060,Independence Day,16.93,0,0,1,Clear,sky is clear,04-07-2013 00:00
1060,None,15.14,0,0,75,Clouds,broken clouds,21-05-2018 23:00
1060,None,19.19,0,0,20,Clouds,few clouds,04-07-2016 08:00
1060,None,-6.44,0,0,90,Clouds,overcast clouds,20-02-2014 22:00
